0.10632283-0.16567351j -0.39191285-0.8149586j   0.11516936+0.36087486j
0.63432586+0.18561047j  0.06573524-0.15657248j  0.49178758-0.54082197j
-0.69259375-0.21152095j  0.24608633-0.30471689j  0.368641-0.43158525j 


-0.03145044-0.18385428j  0.39710608-0.81777275j -0.26710817-0.2596464j
0.15691999-0.62417006j  0.19971205+0.09013927j -0.2411227+0.69255877j  
-0.16096956+0.72462755j  0.34537238-0.07913577j -0.22978976+0.5202459j 


0.5127983-0.47085157j -0.07578135+0.10260318j  0.7054922+0.03670341j
-0.1176035-0.05918307j -0.87124944+0.45683807j -0.11601216+0.03783391j
-0.58235115-0.39858562j  0.05698118-0.11272253j  0.14430143+0.68207073j


-0.17930466+0.5388374j  -0.05287462+0.49031597j -0.4181111+0.5093935j
0.5478041-0.04894742j -0.8088851+0.13485892j  0.10578097+0.11765714j
0.5926462-0.15423825j  0.28852278-0.03266621j -0.7184441-0.15654615j


-0.19972053-0.5135641j  -0.39583632-0.55015326j  0.44326717+0.20130289j
0.60592085-0.04728971j  0.0708867-0.02082662j  0.5244035-0.5917482j
-0.07879688-0.5663729j   0.2755718+0.67767733j  0.2904932+0.23117131j


-0.19917852+0.26328528j  0.0042603-0.20571147j -0.82141423-0.41707557j
-0.5237635+0.52303594j  0.22211039+0.615541j    0.07229981+0.13658065j
-0.4261601+0.4018726j  -0.279939-0.6716212j   0.33103573+0.13364294j


-0.00985381+0.69421446j -0.06210459+0.20893565j  0.5405228+0.42224777j
0.06429267+0.5402141j   0.09502141+0.46295124j -0.62296164-0.30430415j
-0.4565606-0.11643323j  0.8162207+0.25083804j  0.20418236-0.0846716j


-0.51194453+0.07442398j -0.5206704-0.07486273j -0.6487758+0.18644527j
0.03338484-0.64865696j -0.21692689+0.7226943j  -0.03503659-0.08693471j
0.20596787+0.51776516j  0.07676372+0.38478687j -0.38753712-0.620772j


-0.44422704-0.24867931j  0.6701515+0.43934083j  0.18269084-0.25558093j
0.58692384-0.28351644j  0.09975487-0.0855554j  -0.14419815-0.7328541j
0.49578887-0.26486462j  0.5509284-0.1925715j   0.0959675+0.57812154j
